date,name,value
1962-01-01,Electricité,63780
1962-01-01,Gaz,4210
1962-01-01,Charbon,68490
1962-01-01,Energie du bois,16150
1962-01-01,Chaleur à distance,0
1962-01-01,Déchets industriels,0
1962-01-01,Carburants biogènes,0
1962-01-01,Biogaz,0
1962-01-01,Soleil,0
1962-01-01,Chaleur ambiante,0
1963-01-01,Combustibles,169340
1963-01-01,Carburants,82790
1963-01-01,Electricité,66540
1963-01-01,Gaz,4400
1963-01-01,Charbon,68150
1963-01-01,Energie du bois,16180
1963-01-01,Chaleur à distance,0
1963-01-01,Déchets industriels,0
1963-01-01,Carburants biogènes,0
1963-01-01,Biogaz,0
1963-01-01,Soleil,0
1963-01-01,Chaleur ambiante,0
1964-01-01,Combustibles,182220
1964-01-01,Carburants,91490
1964-01-01,Electricité,69650
1964-01-01,Gaz,4280
1964-01-01,Charbon,54510
1964-01-01,Energie du bois,16220
1964-01-01,Chaleur à distance,0
1964-01-01,Déchets industriels,0
1964-01-01,Carburants biogènes,0
1964-01-01,Biogaz,0
1964-01-01,Soleil,0
1964-01-01,Chaleur ambiante,0
1965-01-01,Combustibles,212980
1965-01-01,Carburants,96710
1965-01-01,Electricité,72800
1965-01-01,Gaz,4360
1965-01-01,Charbon,43980
1965-01-01,Energie du bois,16830
1965-01-01,Chaleur à distance,0
1965-01-01,Déchets industriels,0
1965-01-01,Carburants biogènes,0
1965-01-01,Biogaz,0
1965-01-01,Soleil,0
1965-01-01,Chaleur ambiante,0
1966-01-01,Combustibles,216960
1966-01-01,Carburants,104020
1966-01-01,Electricité,74550
1966-01-01,Gaz,4350
1966-01-01,Charbon,36070
1966-01-01,Energie du bois,14730
1966-01-01,Chaleur à distance,0
1966-01-01,Déchets industriels,0
1966-01-01,Carburants biogènes,0
1966-01-01,Biogaz,0
1966-01-01,Soleil,0
1966-01-01,Chaleur ambiante,0
1967-01-01,Combustibles,235220
1967-01-01,Carburants,108470
1967-01-01,Electricité,77500
1967-01-01,Gaz,4470
1967-01-01,Charbon,30700
1967-01-01,Energie du bois,14290
1967-01-01,Chaleur à distance,0
1967-01-01,Déchets industriels,0
1967-01-01,Carburants biogènes,0
1967-01-01,Biogaz,0
1967-01-01,Soleil,0
1967-01-01,Chaleur ambiante,0
1968-01-01,Combustibles,261550
1968-01-01,Carburants,115580
1968-01-01,Electricité,80770
1968-01-01,Gaz,4700
1968-01-01,Charbon,29930
1968-01-01,Energie du bois,13630
1968-01-01,Chaleur à distance,0
1968-01-01,Déchets industriels,0
1968-01-01,Carburants biogènes,0
1968-01-01,Biogaz,0
1968-01-01,Soleil,0
1968-01-01,Chaleur ambiante,0
1969-01-01,Combustibles,291150
1969-01-01,Carburants,125130
1969-01-01,Electricité,85320
1969-01-01,Gaz,5950
1969-01-01,Charbon,27230
1969-01-01,Energie du bois,12310
1969-01-01,Chaleur à distance,0
1969-01-01,Déchets industriels,0
1969-01-01,Carburants biogènes,0
1969-01-01,Biogaz,0
1969-01-01,Soleil,0
1969-01-01,Chaleur ambiante,0
1970-01-01,Combustibles,316510
1970-01-01,Carburants,138060
1970-01-01,Electricité,90310
1970-01-01,Gaz,6620
1970-01-01,Charbon,24440
1970-01-01,Energie du bois,10110
1970-01-01,Chaleur à distance,0
1970-01-01,Déchets industriels,0
1970-01-01,Carburants biogènes,0
1970-01-01,Biogaz,0
1970-01-01,Soleil,0
1970-01-01,Chaleur ambiante,0
1971-01-01,Combustibles,334490
1971-01-01,Carburants,150260
1971-01-01,Electricité,94490
1971-01-01,Gaz,7600
1971-01-01,Charbon,16500
1971-01-01,Energie du bois,9670
1971-01-01,Chaleur à distance,0
1971-01-01,Déchets industriels,0
1971-01-01,Carburants biogènes,0
1971-01-01,Biogaz,0
1971-01-01,Soleil,0
1971-01-01,Chaleur ambiante,0
1972-01-01,Combustibles,336470
1972-01-01,Carburants,160720
1972-01-01,Electricité,97710
1972-01-01,Gaz,8200
1972-01-01,Charbon,13790
1972-01-01,Energie du bois,9230
1972-01-01,Chaleur à distance,0
1972-01-01,Déchets industriels,0
1972-01-01,Carburants biogènes,0
1972-01-01,Biogaz,0
1972-01-01,Soleil,0
1972-01-01,Chaleur ambiante,0
1973-01-01,Combustibles,371150
1973-01-01,Carburants,165330
1973-01-01,Electricité,103590
1973-01-01,Gaz,9550
1973-01-01,Charbon,12960
1973-01-01,Energie du bois,10110
1973-01-01,Chaleur à distance,0
1973-01-01,Déchets industriels,0
1973-01-01,Carburants biogènes,0
1973-01-01,Biogaz,0
1973-01-01,Soleil,0
1973-01-01,Chaleur ambiante,0
1974-01-01,Combustibles,325810
1974-01-01,Carburants,155760
1974-01-01,Electricité,106440
1974-01-01,Gaz,13550
1974-01-01,Charbon,12130
1974-01-01,Energie du bois,8350
1974-01-01,Chaleur à distance,0
1974-01-01,Déchets industriels,0
1974-01-01,Carburants biogènes,0
1974-01-01,Biogaz,0
1974-01-01,Soleil,0
1974-01-01,Chaleur ambiante,0
1975-01-01,Combustibles,314830
1975-01-01,Carburants,156070
1975-01-01,Electricité,104050
1975-01-01,Gaz,18870
1975-01-01,Charbon,9580
1975-01-01,Energie du bois,8350
1975-01-01,Chaleur à distance,0
1975-01-01,Déchets industriels,0
1975-01-01,Carburants biogènes,0
1975-01-01,Biogaz,0
1975-01-01,Soleil,0
1975-01-01,Chaleur ambiante,0
1976-01-01,Combustibles,320700
1976-01-01,Carburants,157000
1976-01-01,Electricité,107650
1976-01-01,Gaz,20430
1976-01-01,Charbon,8600
1976-01-01,Energie du bois,8350
1976-01-01,Chaleur à distance,0
1976-01-01,Déchets industriels,0
1976-01-01,Carburants biogènes,0
1976-01-01,Biogaz,0
1976-01-01,Soleil,0
1976-01-01,Chaleur ambiante,0
1977-01-01,Combustibles,313400
1977-01-01,Carburants,167200
1977-01-01,Electricité,112640
1977-01-01,Gaz,24120
1977-01-01,Charbon,10500
1977-01-01,Energie du bois,8350
1977-01-01,Chaleur à distance,0
